Date,Open,High,Low,Close
12/2017,"326.85","331.22","316.90","324.74"
11/2017,"335.67","339.59","324.82","325.25"
10/2017,"321.29","334.40","320.57","333.57"
09/2017,"308.85","320.40","302.41","316.27"
08/2017,"313.58","318.86","301.32","308.28"
07/2017,"312.50","322.16","309.62","314.60"
06/2017,"304.74","313.79","302.99","311.76"
05/2017,"288.60","309.32","288.39","304.67"
04/2017,"281.51","289.02","275.01","287.21"
03/2017,"272.14","284.40","268.36","280.64"
02/2017,"269.16","273.18","265.76","270.06"
01/2017,"259.42","271.21","258.64","268.09"
