Date,Open,High,Low,Close
12/2020,"349.37","390.04","349.07","389.29"
11/2020,"302.67","354.78","301.37","346.05"
10/2020,"309.65","321.45","301.58","301.60"
09/2020,"309.08","324.19","301.93","309.44"
08/2020,"299.57","326.22","297.57","307.14"
07/2020,"283.10","304.16","279.44","299.32"
06/2020,"269.29","295.68","267.95","280.09"
05/2020,"252.44","271.44","249.95","268.32"
04/2020,"234.23","259.67","223.60","258.15"
03/2020,"269.59","282.05","198.67","236.82"
02/2020,"280.17","304.43","267.23","268.02"
01/2020,"294.19","307.54","284.53","284.53"
