Date,Open,High,Low,Close
12/2015,"245.47","249.08","245.39","248.70"
11/2015,"249.86","253.22","238.84","244.24"
10/2015,"236.60","253.41","235.83","249.41"
09/2015,"231.86","241.30","226.03","236.71"
08/2015,"243.71","244.05","217.52","232.80"
07/2015,"252.49","256.12","241.49","244.30"
06/2015,"259.84","260.00","246.42","252.27"
05/2015,"267.57","268.56","259.47","260.39"
04/2015,"256.44","275.11","254.70","266.42"
03/2015,"253.13","260.68","250.09","257.28"
02/2015,"249.83","253.22","246.32","251.46"
01/2015,"243.96","252.50","239.09","249.88"
