Date,Open,High,Low,Close
12/2021,"376.45","403.37","373.61","394.19"
11/2021,"390.34","399.88","370.86","373.24"
10/2021,"399.53","400.52","379.08","388.47"
09/2021,"419.17","421.31","396.78","401.30"
08/2021,"426.29","437.85","399.18","419.79"
07/2021,"439.01","440.68","423.91","423.91"
06/2021,"428.08","442.31","426.94","438.84"
05/2021,"422.54","436.73","414.28","427.91"
04/2021,"416.99","434.70","416.51","422.36"
03/2021,"411.00","422.41","399.37","415.04"
02/2021,"404.71","432.25","400.59","409.91"
01/2021,"389.50","449.04","388.88","404.56"
