Date,Open,High,Low,Close
12/2012,"254.91","265.98","253.72","263.92"
11/2012,"248.70","255.95","242.90","254.25"
10/2012,"262.82","264.16","246.69","250.18"
09/2012,"250.97","265.63","245.68","262.49"
08/2012,"248.42","261.08","244.17","250.56"
07/2012,"246.35","252.53","231.68","250.08"
06/2012,"242.45","253.59","235.37","244.90"
05/2012,"266.10","267.01","235.46","244.05"
04/2012,"267.72","272.83","259.22","264.35"
03/2012,"268.64","271.68","258.32","266.58"
02/2012,"255.73","269.26","255.56","267.13"
01/2012,"239.04","260.07","235.95","256.90"
