Date,Open,High,Low,Close
12/2011,"250.12","253.02","227.54","238.08"
11/2011,"247.51","252.66","229.74","241.19"
10/2011,"218.92","256.88","215.53","249.88"
09/2011,"243.07","248.84","212.92","230.41"
08/2011,"280.86","282.79","218.09","242.16"
07/2011,"277.90","287.73","274.61","277.11"
06/2011,"282.92","284.34","263.02","275.17"
05/2011,"291.93","295.51","267.77","282.76"
04/2011,"278.92","295.16","275.12","290.39"
03/2011,"253.95","278.87","249.34","278.87"
02/2011,"274.50","278.68","255.88","256.36"
01/2011,"272.84","280.26","271.26","273.12"
