Date,Open,High,Low,Close
10/2024,"340.76","351.46","339.18","339.32"
09/2024,"362.57","363.87","332.72","344.76"
08/2024,"383.68","384.54","324.52","361.55"
07/2024,"383.10","400.31","370.53","380.49"
06/2024,"361.66","385.76","361.61","384.02"
05/2024,"363.37","378.05","358.12","358.21"
04/2024,"377.66","378.29","347.12","365.13"
03/2024,"358.99","377.83","354.52","374.63"
02/2024,"335.89","362.72","335.89","355.57"
01/2024,"356.43","361.53","325.10","336.24"
12/2023,"336.71","357.99","331.42","357.99"
11/2023,"307.55","338.43","307.33","338.43"
10/2023,"310.49","311.58","305.14","305.56"
