Date,Open,High,Low,Close
12/2016,"254.84","264.42","251.52","260.01"
11/2016,"255.35","257.03","246.51","254.26"
10/2016,"259.51","261.68","253.71","255.93"
09/2016,"254.95","262.10","250.53","257.49"
08/2016,"252.91","258.93","248.60","256.87"
07/2016,"244.96","253.37","240.73","251.48"
06/2016,"242.70","251.51","234.97","244.14"
05/2016,"244.86","244.90","237.65","243.63"
04/2016,"245.59","249.56","239.57","245.20"
03/2016,"238.45","247.58","237.21","245.86"
02/2016,"232.87","236.91","223.37","234.63"
01/2016,"239.30","239.35","222.92","232.10"
